Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
LUMIERE,MISTRI ROAD,02,Non-Landed Properties,NA,"3,300",40 to 50,500 to 600,Oct-24
EIGHT RIVERSUITES,WHAMPOA EAST,12,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Oct-24
CITYSCAPE @FARRER PARK,MERGUI ROAD,08,Non-Landed Properties,3,"5,700",110 to 120,"1,200 to 1,300",Oct-24
ROBINSON SUITES,ROBINSON ROAD,01,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Oct-24
ASTRID MEADOWS,CORONATION ROAD WEST,10,Non-Landed Properties,NA,"8,000",210 to 220,"2,300 to 2,400",Oct-24
EAST COAST RESIDENCES,UPPER EAST COAST ROAD,16,Non-Landed Properties,1,"4,650",50 to 60,500 to 600,Oct-24
URBAN VISTA,TANAH MERAH KECHIL LINK,16,Non-Landed Properties,3,"3,600",70 to 80,700 to 800,Oct-24
HILLVIEW HEIGHTS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,577",110 to 120,"1,200 to 1,300",Oct-24
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,1,"3,100",60 to 70,700 to 800,Oct-24
THE ARCADIA,ARCADIA ROAD,11,Non-Landed Properties,4,"11,500",340 to 350,"3,700 to 3,800",Oct-24
ESPADA,ST. THOMAS WALK,09,Non-Landed Properties,1,"3,200",30 to 40,300 to 400,Oct-24
ALBA,CAIRNHILL RISE,09,Non-Landed Properties,4,"12,700",200 to 210,"2,200 to 2,300",Oct-24
AMBER 45,AMBER ROAD,15,Non-Landed Properties,2,"4,600",60 to 70,700 to 800,Oct-24
THE SEA VIEW,AMBER ROAD,15,Non-Landed Properties,3,"6,800",130 to 140,"1,400 to 1,500",Oct-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,500",80 to 90,800 to 900,Oct-24
ARCHIPELAGO,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,3,"5,100",110 to 120,"1,100 to 1,200",Oct-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Oct-24
THE LUXURIE,COMPASSVALE ROAD,19,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Oct-24
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Oct-24
PARC ELEGANCE,TELOK KURAU ROAD,15,Non-Landed Properties,3,"4,200",80 to 90,"900 to 1,000",Oct-24
ONE LEICESTER,LEICESTER ROAD,13,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Oct-24
A TREASURE TROVE,PUNGGOL WALK,19,Non-Landed Properties,2,"3,600",70 to 80,700 to 800,Oct-24
BEACON HEIGHTS,MAR THOMA ROAD,12,Non-Landed Properties,3,"3,900",100 to 110,"1,100 to 1,200",Oct-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,2,"4,300",50 to 60,600 to 700,Oct-24
RIPPLE BAY,PASIR RIS LINK,18,Non-Landed Properties,2,"3,300",70 to 80,700 to 800,Oct-24
ATTITUDE AT KIM YAM,KIM YAM ROAD,09,Non-Landed Properties,NA,"3,000",30 to 40,300 to 400,Oct-24
RV ALTITUDE,RIVER VALLEY ROAD,09,Non-Landed Properties,2,"5,000",50 to 60,600 to 700,Oct-24
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,400",80 to 90,"900 to 1,000",Oct-24
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,3,"4,000",110 to 120,"1,200 to 1,300",Oct-24
LE REVE,KAMPONG EUNOS,14,Non-Landed Properties,2,"3,650",70 to 80,800 to 900,Oct-24
BARTLEY RESIDENCES,LORONG HOW SUN,19,Non-Landed Properties,2,"3,800",70 to 80,700 to 800,Oct-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"4,800",70 to 80,800 to 900,Oct-24
CASA FORTUNA,AH HOOD ROAD,12,Non-Landed Properties,1,"2,900",40 to 50,500 to 600,Oct-24
WATERSCAPE AT CAVENAGH,CAVENAGH ROAD,09,Non-Landed Properties,2,"5,800",90 to 100,"1,000 to 1,100",Oct-24
SUITES @ AMBER,AMBER ROAD,15,Non-Landed Properties,3,"5,500",80 to 90,"900 to 1,000",Oct-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,3,"5,800",80 to 90,800 to 900,Oct-24
MAYFAIR GARDENS,RIFLE RANGE ROAD,21,Non-Landed Properties,1,"4,500",50 to 60,500 to 600,Oct-24
THE TAPESTRY,TAMPINES STREET 86,18,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Oct-24
PARC EMILY,MOUNT EMILY ROAD,09,Non-Landed Properties,2,"5,300",90 to 100,"900 to 1,000",Oct-24
OCEAN FRONT SUITES,JALAN LOYANG BESAR,17,Non-Landed Properties,1,"2,400",30 to 40,300 to 400,Oct-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Oct-24
KOPAR AT NEWTON,MAKEWAY AVENUE,09,Non-Landed Properties,2,"4,700",50 to 60,600 to 700,Oct-24
AIRSTREAM,ST. MICHAEL'S ROAD,12,Non-Landed Properties,1,"2,700",30 to 40,400 to 500,Oct-24
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,2,"4,400",80 to 90,"900 to 1,000",Oct-24
RIVERSIDE 48,ROBERTSON QUAY,09,Non-Landed Properties,NA,"4,100",70 to 80,700 to 800,Oct-24
EURO-ASIA PARK,WOODLEIGH CLOSE,13,Non-Landed Properties,NA,"4,100",110 to 120,"1,200 to 1,300",Oct-24
ROBERTSON 100,ROBERTSON QUAY,09,Non-Landed Properties,3,"5,800",90 to 100,"1,000 to 1,100",Oct-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Oct-24
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,1,"3,850",50 to 60,500 to 600,Oct-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,2,"5,500",70 to 80,800 to 900,Oct-24
SANCTUARY GREEN,TANJONG RHU ROAD,15,Non-Landed Properties,3,"5,500",120 to 130,"1,300 to 1,400",Oct-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Oct-24
ROYALGREEN,ANAMALAI AVENUE,10,Non-Landed Properties,4,"8,200",110 to 120,"1,200 to 1,300",Oct-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Oct-24
THE PEAK @ CAIRNHILL II,CAIRNHILL CIRCLE,09,Non-Landed Properties,2,"4,900",70 to 80,800 to 900,Oct-24
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,19,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Oct-24
THE LIGHT @ CAIRNHILL,CAIRNHILL CIRCLE,09,Non-Landed Properties,3,"8,300",150 to 160,"1,600 to 1,700",Oct-24
NEWTON EDGE,MAKEWAY AVENUE,09,Non-Landed Properties,2,"3,800",70 to 80,700 to 800,Oct-24
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"5,800",80 to 90,800 to 900,Oct-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,3,"5,700",80 to 90,"900 to 1,000",Oct-24
SYMPHONY HEIGHTS,HUME AVENUE,21,Non-Landed Properties,2,"3,850",90 to 100,"1,000 to 1,100",Oct-24
THE SEAWIND,LORONG M TELOK KURAU,15,Non-Landed Properties,NA,"3,000",60 to 70,600 to 700,Oct-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,21,Non-Landed Properties,NA,"5,500",90 to 100,"900 to 1,000",Oct-24
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,10,Non-Landed Properties,2,"6,500",70 to 80,800 to 900,Oct-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,21,Non-Landed Properties,NA,"3,000",40 to 50,400 to 500,Oct-24
FERRARIA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,1,"2,600",60 to 70,600 to 700,Oct-24
SEMBAWANG HILLS ESTATE,JALAN LEBAN,20,Non-Landed Properties,NA,"2,800",100 to 110,"1,000 to 1,100",Oct-24
THE LUXURIE,COMPASSVALE ROAD,19,Non-Landed Properties,2,"3,800",70 to 80,700 to 800,Oct-24
THE MAYFAIR,JURONG EAST STREET 32,22,Non-Landed Properties,3,"4,300",100 to 110,"1,100 to 1,200",Oct-24
KASTURINA LODGE,KAY POH ROAD,10,Non-Landed Properties,2,"4,000",70 to 80,700 to 800,Oct-24
THE SORRENTO,WEST COAST ROAD,05,Non-Landed Properties,1,"3,150",40 to 50,400 to 500,Oct-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Oct-24
PARC PALAIS,HUME AVENUE,21,Non-Landed Properties,3,"3,850",110 to 120,"1,200 to 1,300",Oct-24
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,19,Non-Landed Properties,2,"3,425",60 to 70,700 to 800,Oct-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"2,900",50 to 60,500 to 600,Oct-24
WATERMARK ROBERTSON QUAY,RODYK STREET,09,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Oct-24
RIVERTREES RESIDENCES,FERNVALE CLOSE,28,Non-Landed Properties,2,"3,200",50 to 60,500 to 600,Oct-24
THE ARTE,JALAN RAJA UDANG,12,Non-Landed Properties,3,"6,000",140 to 150,"1,500 to 1,600",Oct-24
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Oct-24
GUILLEMARD EDGE,LORONG 30 GEYLANG,14,Non-Landed Properties,1,"3,300",90 to 100,"1,000 to 1,100",Oct-24
MELVILLE PARK,SIMEI STREET 1,18,Non-Landed Properties,3,"4,200",90 to 100,"1,000 to 1,100",Oct-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"7,800",100 to 110,"1,100 to 1,200",Oct-24
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"6,500",200 to 210,"2,200 to 2,300",Oct-24
QUEENSBERRY LODGE,SHANGHAI ROAD,10,Non-Landed Properties,1,"3,250",50 to 60,600 to 700,Oct-24
NOVENA SUITES,MOULMEIN ROAD,11,Non-Landed Properties,1,"4,400",60 to 70,700 to 800,Oct-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,700",60 to 70,600 to 700,Oct-24
BOTANIC GARDENS MANSION,TAMAN SERASI,10,Non-Landed Properties,3,"7,000",160 to 170,"1,700 to 1,800",Oct-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,2,"4,300",50 to 60,600 to 700,Oct-24
BLUWATERS,JALAN LOYANG BESAR,17,Non-Landed Properties,2,"3,200",80 to 90,"900 to 1,000",Oct-24
FOREST WOODS,LORONG LEW LIAN,19,Non-Landed Properties,1,"3,350",40 to 50,500 to 600,Oct-24
TIARA,KIM SENG WALK,09,Non-Landed Properties,3,"6,000",120 to 130,"1,300 to 1,400",Oct-24
ATRIUM RESIDENCES,LORONG 28 GEYLANG,14,Non-Landed Properties,3,"5,300",90 to 100,"1,000 to 1,100",Oct-24
PARC EMILY,MOUNT EMILY ROAD,09,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Oct-24
KENSINGTON PARK CONDOMINIUM,KENSINGTON PARK DRIVE,19,Non-Landed Properties,3,"4,000",150 to 160,"1,600 to 1,700",Oct-24
PARC ELEGANCE,TELOK KURAU ROAD,15,Non-Landed Properties,2,"3,200",40 to 50,400 to 500,Oct-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"4,875",80 to 90,"900 to 1,000",Oct-24
KENSINGTON SQUARE,JALAN LOKAM,19,Non-Landed Properties,2,"3,600",80 to 90,"900 to 1,000",Oct-24
SCOTTS SQUARE,SCOTTS ROAD,09,Non-Landed Properties,1,"4,500",50 to 60,600 to 700,Oct-24
FUYUEN COURT,SIMS AVENUE,14,Non-Landed Properties,2,"3,300",70 to 80,800 to 900,Oct-24
THE CATHAY RESIDENCE,MOUNT SOPHIA,09,Non-Landed Properties,4,"8,942",160 to 170,"1,800 to 1,900",Oct-24
NON-LANDED HOUSING DEVELOPMENT,RIVER VALLEY ROAD,09,Non-Landed Properties,NA,"3,700",110 to 120,"1,100 to 1,200",Oct-24
NON-LANDED HOUSING DEVELOPMENT,JALAN SUKA,14,Non-Landed Properties,NA,"5,000",90 to 100,"1,000 to 1,100",Oct-24
NON-LANDED HOUSING DEVELOPMENT,KIM KEAT LANE,12,Non-Landed Properties,3,"6,600",130 to 140,"1,400 to 1,500",Oct-24
NON-LANDED HOUSING DEVELOPMENT,KIM KEAT LANE,12,Non-Landed Properties,3,"5,500",110 to 120,"1,200 to 1,300",Oct-24
NON-LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,08,Non-Landed Properties,NA,"4,300",70 to 80,800 to 900,Oct-24
NON-LANDED HOUSING DEVELOPMENT,GEYLANG ROAD,14,Non-Landed Properties,NA,"3,000",70 to 80,700 to 800,Oct-24
NON-LANDED HOUSING DEVELOPMENT,RIVER VALLEY ROAD,10,Non-Landed Properties,NA,"4,518",110 to 120,"1,200 to 1,300",Oct-24
NON-LANDED HOUSING DEVELOPMENT,SEAH STREET,07,Non-Landed Properties,NA,"4,100",80 to 90,800 to 900,Oct-24
NON-LANDED HOUSING DEVELOPMENT,PILLAI ROAD,19,Non-Landed Properties,NA,"5,000",90 to 100,"1,000 to 1,100",Oct-24
NON-LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,15,Non-Landed Properties,NA,"4,650",200 to 210,"2,200 to 2,300",Oct-24
NON-LANDED HOUSING DEVELOPMENT,JALAN BESAR,08,Non-Landed Properties,NA,"4,500",90 to 100,"1,000 to 1,100",Oct-24
NON-LANDED HOUSING DEVELOPMENT,NEWTON ROAD,11,Non-Landed Properties,3,"8,000",160 to 170,"1,700 to 1,800",Oct-24
NON-LANDED HOUSING DEVELOPMENT,ORANGE GROVE ROAD,10,Non-Landed Properties,4,"11,000",250 to 260,"2,700 to 2,800",Oct-24
NON-LANDED HOUSING DEVELOPMENT,BALMORAL ROAD,10,Non-Landed Properties,3,"9,500",160 to 170,"1,700 to 1,800",Oct-24
NON-LANDED HOUSING DEVELOPMENT,BEACH ROAD,07,Non-Landed Properties,NA,"6,600",260 to 270,"2,800 to 2,900",Oct-24
NON-LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"3,600",70 to 80,800 to 900,Oct-24
NON-LANDED HOUSING DEVELOPMENT,CHANGI ROAD,14,Non-Landed Properties,NA,"4,300",100 to 110,"1,000 to 1,100",Oct-24
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,2,"3,700",80 to 90,800 to 900,Oct-24
JERVOIS GROVE,JERVOIS ROAD,10,Non-Landed Properties,3,"8,200",130 to 140,"1,400 to 1,500",Oct-24
SKY VUE,BISHAN STREET 15,20,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Oct-24
BANYAN CONDOMINIUM,CHWEE CHIAN ROAD,05,Non-Landed Properties,NA,"5,200",170 to 180,"1,800 to 1,900",Oct-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Oct-24
THE SCALA,SERANGOON AVENUE 3,19,Non-Landed Properties,3,"5,000",90 to 100,"1,000 to 1,100",Oct-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,1,"3,800",50 to 60,500 to 600,Oct-24
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,03,Non-Landed Properties,2,"5,300",80 to 90,"900 to 1,000",Oct-24
BURLINGTON SQUARE,BENCOOLEN STREET,07,Non-Landed Properties,1,"3,550",70 to 80,700 to 800,Oct-24
AMBERGLADES,AMBER GARDENS,15,Non-Landed Properties,NA,"4,900",110 to 120,"1,200 to 1,300",Oct-24
ROSE APARTMENTS,GEYLANG ROAD,14,Non-Landed Properties,NA,"3,900",100 to 110,"1,100 to 1,200",Oct-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,Oct-24
THE PARK VALE,PARK VALE,11,Non-Landed Properties,NA,"6,500",120 to 130,"1,300 to 1,400",Oct-24
RESIDENCES @ SOMME,PETAIN ROAD,08,Non-Landed Properties,1,"2,900",50 to 60,500 to 600,Oct-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,3,"4,200",120 to 130,"1,300 to 1,400",Oct-24
GALLOP GABLES,FARRER ROAD,10,Non-Landed Properties,3,"8,000",200 to 210,"2,100 to 2,200",Oct-24
HILLVIEW HEIGHTS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"2,900",110 to 120,"1,200 to 1,300",Oct-24
ICON,GOPENG STREET,02,Non-Landed Properties,2,"5,750",80 to 90,"900 to 1,000",Oct-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Oct-24
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,01,Non-Landed Properties,3,"4,800",150 to 160,"1,600 to 1,700",Oct-24
RIS GRANDEUR,ELIAS ROAD,18,Non-Landed Properties,3,"4,000",120 to 130,"1,300 to 1,400",Oct-24
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Oct-24
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,NA,"3,800",50 to 60,500 to 600,Oct-24
PARC OLYMPIA,FLORA DRIVE,17,Non-Landed Properties,2,"3,000",70 to 80,700 to 800,Oct-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,000",60 to 70,600 to 700,Oct-24
YONG AN PARK,RIVER VALLEY ROAD,09,Non-Landed Properties,3,"7,800",200 to 210,"2,200 to 2,300",Oct-24
BRADDELL VIEW,BRADDELL HILL,20,Non-Landed Properties,NA,"3,850",150 to 160,"1,600 to 1,700",Oct-24
ROYALE MANSIONS,PULASAN ROAD,15,Non-Landed Properties,NA,"3,700",100 to 110,"1,100 to 1,200",Oct-24
HYLL ON HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,NA,"4,600",60 to 70,600 to 700,Oct-24
THE SUNNY SPRING,LORONG 40 GEYLANG,14,Non-Landed Properties,3,"4,500",90 to 100,"1,000 to 1,100",Oct-24
HANA,TOMLINSON ROAD,10,Non-Landed Properties,4,"28,000",320 to 330,"3,400 to 3,500",Oct-24
RIVER ISLES,EDGEDALE PLAINS,19,Non-Landed Properties,3,"4,500",90 to 100,"1,000 to 1,100",Oct-24
CAIRNHILL CREST,CAIRNHILL CIRCLE,09,Non-Landed Properties,4,"9,400",180 to 190,"1,900 to 2,000",Oct-24
TIARA,KIM SENG WALK,09,Non-Landed Properties,3,"6,000",120 to 130,"1,300 to 1,400",Oct-24
HAIG 162,HAIG ROAD,15,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Oct-24
ECO SANCTUARY,CHESTNUT AVENUE,23,Non-Landed Properties,3,"4,300",90 to 100,"900 to 1,000",Oct-24
BAYSHORE PARK,BAYSHORE ROAD,16,Non-Landed Properties,3,"4,200",120 to 130,"1,200 to 1,300",Oct-24
MAYFAIR GARDENS,RIFLE RANGE ROAD,21,Non-Landed Properties,3,"6,400",100 to 110,"1,100 to 1,200",Oct-24
SELETARIS,SEMBAWANG ROAD,27,Non-Landed Properties,2,"3,300",120 to 130,"1,300 to 1,400",Oct-24
ATRIUM RESIDENCES,LORONG 28 GEYLANG,14,Non-Landed Properties,2,"3,750",70 to 80,800 to 900,Oct-24
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Oct-24
TRILIVE,TAMPINES ROAD,19,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Oct-24
THE PROMENADE@PELIKAT,JALAN PELIKAT,19,Non-Landed Properties,4,"5,200",120 to 130,"1,200 to 1,300",Oct-24
SEASTRAND,PASIR RIS LINK,18,Non-Landed Properties,NA,"2,600",60 to 70,700 to 800,Oct-24
TRELLIS TOWERS,LORONG 1 TOA PAYOH,12,Non-Landed Properties,3,"4,700",100 to 110,"1,100 to 1,200",Oct-24
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,2,"4,100",70 to 80,800 to 900,Oct-24
LA DOLCE VITA,UPPER PAYA LEBAR ROAD,19,Non-Landed Properties,3,"4,500",130 to 140,"1,400 to 1,500",Oct-24
SANCTUARY GREEN,TANJONG RHU ROAD,15,Non-Landed Properties,3,"5,300",110 to 120,"1,200 to 1,300",Oct-24
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"10,300",170 to 180,"1,900 to 2,000",Oct-24
WATERFRONT WAVES,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,3,"5,000",110 to 120,"1,200 to 1,300",Oct-24
NOVA 88,BHAMO ROAD,12,Non-Landed Properties,NA,"3,100",40 to 50,500 to 600,Oct-24
HOLLAND COURT,HOLLAND ROAD,10,Non-Landed Properties,3,"9,300",180 to 190,"1,900 to 2,000",Oct-24
19 NASSIM,NASSIM HILL,10,Non-Landed Properties,1,"5,500",50 to 60,500 to 600,Oct-24
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,2,"7,000",90 to 100,"1,000 to 1,100",Oct-24
ESPADA,ST. THOMAS WALK,09,Non-Landed Properties,1,"3,400",30 to 40,300 to 400,Oct-24
SUNVILLE,ST. MICHAEL'S ROAD,12,Non-Landed Properties,3,"4,400",100 to 110,"1,100 to 1,200",Oct-24
THE BAYSHORE,BAYSHORE ROAD,16,Non-Landed Properties,2,"3,650",80 to 90,"900 to 1,000",Oct-24
HARVEST MANSIONS,HAVELOCK ROAD,03,Non-Landed Properties,2,"4,100",90 to 100,"1,000 to 1,100",Oct-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,2,"5,300",60 to 70,600 to 700,Oct-24
THE MEZZO,BALESTIER ROAD,12,Non-Landed Properties,2,"3,800",70 to 80,800 to 900,Oct-24
ONE-NORTH EDEN,SLIM BARRACKS RISE,05,Non-Landed Properties,NA,"5,200",70 to 80,700 to 800,Oct-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,Oct-24
PARK INFINIA AT WEE NAM,LINCOLN ROAD,11,Non-Landed Properties,2,"6,500",90 to 100,"1,000 to 1,100",Oct-24
STARVILLE,LENGKONG TIGA,14,Non-Landed Properties,3,"4,000",110 to 120,"1,200 to 1,300",Oct-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,NA,"1,388",20 to 30,200 to 300,Oct-24
THE TAPESTRY,TAMPINES STREET 86,18,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Oct-24
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Oct-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,NA,"4,100",60 to 70,600 to 700,Oct-24
L'VIV,NEWTON ROAD,11,Non-Landed Properties,2,"5,800",90 to 100,"1,000 to 1,100",Oct-24
SKYSUITES17,JALAN RAJAH,12,Non-Landed Properties,2,"3,400",50 to 60,600 to 700,Oct-24
CITYLIGHTS,JELLICOE ROAD,08,Non-Landed Properties,1,"4,000",60 to 70,600 to 700,Oct-24
STURDEE RESIDENCES,BEATTY ROAD,08,Non-Landed Properties,1,"2,800",30 to 40,400 to 500,Oct-24
EIGHT RIVERSUITES,WHAMPOA EAST,12,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Oct-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,350",60 to 70,600 to 700,Oct-24
2 RVG,RIVER VALLEY GROVE,09,Non-Landed Properties,2,"5,300",80 to 90,"900 to 1,000",Oct-24
SPRINGDALE CONDOMINIUM,HINDHEDE WALK,21,Non-Landed Properties,3,"3,000",100 to 110,"1,100 to 1,200",Oct-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,3,"5,500",90 to 100,"1,000 to 1,100",Oct-24
ROBIN RESIDENCES,ROBIN DRIVE,10,Non-Landed Properties,5,"8,000",170 to 180,"1,800 to 1,900",Oct-24
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,3,"6,400",110 to 120,"1,200 to 1,300",Oct-24
CASCADALE,UPPER CHANGI ROAD EAST,16,Non-Landed Properties,2,"3,300",120 to 130,"1,300 to 1,400",Oct-24
MINT RESIDENCES @ JANSEN,JANSEN ROAD,19,Non-Landed Properties,3,"3,800",80 to 90,"900 to 1,000",Oct-24
OLEANAS RESIDENCE,KIM YAM ROAD,09,Non-Landed Properties,2,"6,500",130 to 140,"1,400 to 1,500",Oct-24
OLEANDER TOWERS,LORONG 1 TOA PAYOH,12,Non-Landed Properties,2,"3,650",100 to 110,"1,100 to 1,200",Oct-24
NON-LANDED HOUSING DEVELOPMENT,BEACH ROAD,07,Non-Landed Properties,NA,"2,800",130 to 140,"1,400 to 1,500",Oct-24
NON-LANDED HOUSING DEVELOPMENT,LORONG 20 GEYLANG,14,Non-Landed Properties,NA,"3,000",100 to 110,"1,100 to 1,200",Oct-24
NON-LANDED HOUSING DEVELOPMENT,LORONG 9 GEYLANG,14,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Oct-24
NON-LANDED HOUSING DEVELOPMENT,LIM TECK KIM ROAD,02,Non-Landed Properties,NA,"2,500",90 to 100,"900 to 1,000",Oct-24
NON-LANDED HOUSING DEVELOPMENT,JOO CHIAT ROAD,15,Non-Landed Properties,NA,"4,000",100 to 110,"1,000 to 1,100",Oct-24
NON-LANDED HOUSING DEVELOPMENT,CHANGI ROAD,14,Non-Landed Properties,NA,"3,700",80 to 90,800 to 900,Oct-24
NON-LANDED HOUSING DEVELOPMENT,LORONG 42 GEYLANG,14,Non-Landed Properties,NA,"5,500",100 to 110,"1,000 to 1,100",Oct-24
NON-LANDED HOUSING DEVELOPMENT,TYRWHITT ROAD,08,Non-Landed Properties,NA,"8,300",190 to 200,"2,100 to 2,200",Oct-24
NON-LANDED HOUSING DEVELOPMENT,TEMBELING ROAD,15,Non-Landed Properties,NA,"4,000",80 to 90,"900 to 1,000",Oct-24
NON-LANDED HOUSING DEVELOPMENT,STANGEE PLACE,15,Non-Landed Properties,NA,"4,300",120 to 130,"1,300 to 1,400",Oct-24
NON-LANDED HOUSING DEVELOPMENT,LORONG 17 GEYLANG,14,Non-Landed Properties,NA,"4,750",70 to 80,800 to 900,Oct-24
NON-LANDED HOUSING DEVELOPMENT,KIM KEAT ROAD,12,Non-Landed Properties,3,"4,200",90 to 100,"900 to 1,000",Oct-24
NON-LANDED HOUSING DEVELOPMENT,JALAN PARI BURONG,16,Non-Landed Properties,NA,"4,500",120 to 130,"1,300 to 1,400",Oct-24
NON-LANDED HOUSING DEVELOPMENT,LORONG 27 GEYLANG,14,Non-Landed Properties,NA,"5,200",80 to 90,"900 to 1,000",Oct-24
